Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC
State_id  ,YEAR  ,Month  ,PRECIP (in) 
'437054',1945,2,2.04 
'437054',1945,3,1.6 
'437054',1945,4,4.91 
'437054',1945,5,6.09 
'437054',1945,6,5.33 
'437054',1945,7,5.1 
'437054',1945,8,1.13 
'437054',1945,9,7.57 
'437054',1945,10,4.48 
'437054',1945,11,3.66 
'437054',1945,12,2.84 
'437054',1946,1,2.28 
'437054',1946,2,2.56 
'437054',1946,3,1.3 
'437054',1946,4,1.81 
'437054',1946,5,3.85 
'437054',1946,6,3.01 
'437054',1946,7,2.87 
'437054',1946,8,5.2 
'437054',1946,9,4.48 
'437054',1946,10,3.15 
'437054',1946,11,2.45 
'437054',1946,12,4.03 
'437054',1947,1,3.51 
'437054',1947,2,1.95 
'437054',1947,3,1.94 
'437054',1947,4,1.84 
'437054',1947,5,4.73 
'437054',1947,6,6.88 
'437054',1947,7,4.58 
'437054',1947,8,1.38 
'437054',1947,9,1.14 
'437054',1947,10,1.04 
'437054',1947,11,3.56 
'437054',1947,12,1.34 
'437054',1948,1,2.11 
'437054',1948,2,1.67 
'437054',1948,3,2.13 
'437054',1948,4,1.84 
'437054',1948,5,3.91 
'437054',1948,6,5 
'437054',1948,7,1.62 
'437054',1948,8,3.08 
'437054',1948,9,1.18 
'437054',1948,10,2.94 
'437054',1948,11,5.81 
'437054',1948,12,2.61 
'437054',1949,1,2.54 
'437054',1949,2,2.29 
'437054',1949,3,1.35 
'437054',1949,4,2.85 
'437054',1949,5,3.35 
'437054',1949,6,2.17 
'437054',1949,7,3.91 
'437054',1949,8,2.64 
'437054',1949,9,3.4 
'437054',1949,10,2.25 
'437054',1949,11,2.66 
'437054',1949,12,2.7 
'437054',1950,1,3.87 
'437054',1950,2,2.82 
'437054',1950,3,2.75 
'437054',1950,4,2.77 
'437054',1950,5,1.34 
'437054',1950,6,5.24 
'437054',1950,7,2.26 
'437054',1950,8,4.09 
'437054',1950,9,1.74 
'437054',1950,10,2.61 
'437054',1950,11,3.37 
'437054',1950,12,3.36 
'437054',1951,1,1.78 
'437054',1951,2,3.61 
'437054',1951,3,3.74 
'437054',1951,4,3.52 
'437054',1951,5,2.81 
'437054',1951,6,2.31 
'437054',1951,7,5.74 
'437054',1951,8,3.12 
'437054',1951,9,2.29 
'437054',1951,10,2.02 
'437054',1951,11,3.95 
'437054',1951,12,3.48 
'437054',1952,1,2.86 
'437054',1952,2,3.3 
'437054',1952,3,2.57 
'437054',1952,4,3.35 
'437054',1952,5,3.72 
'437054',1952,6,7.13 
'437054',1952,7,2.28 
'437054',1952,8,2.52 
'437054',1952,9,3.18 
'437054',1952,10,3.7 
'437054',1952,11,1.17 
'437054',1952,12,4.39 
'437054',1953,1,2.81 
'437054',1953,2,1.78 
'437054',1953,3,3.52 
'437054',1953,4,3.24 
'437054',1953,5,3.88 
'437054',1953,6,3.07 
'437054',1953,7,3.84 
'437054',1953,8,3.82 
'437054',1953,9,3.98 
'437054',1953,10,2.37 
'437054',1953,11,2.04 
'437054',1953,12,2.78 
'437054',1954,1,2.99 
'437054',1954,2,3.57 
'437054',1954,3,2.93 
'437054',1954,4,3.39 
'437054',1954,5,5.2 
'437054',1954,6,3.85 
'437054',1954,7,3.2 
'437054',1954,8,3.26 
'437054',1954,9,5.67 
'437054',1954,10,3.06 
'437054',1954,11,3.88 
'437054',1954,12,2.69 
'437054',1955,1,1.1 
'437054',1955,2,4.04 
'437054',1955,3,3.46 
'437054',1955,4,2.67 
'437054',1955,5,2.13 
'437054',1955,6,3.2 
'437054',1955,7,1.22 
'437054',1955,8,6.35 
'437054',1955,9,1.31 
'437054',1955,10,2.7 
'437054',1955,11,2.67 
'437054',1955,12,1.04 
'437054',1956,1,1.57 
'437054',1956,2,1.6 
'437054',1956,3,4.31 
'437054',1956,4,2.34 
'437054',1956,5,4.52 
'437054',1956,6,2.05 
'437054',1956,7,3.4 
'437054',1956,8,3.15 
'437054',1956,9,3.98 
'437054',1956,10,1.76 
'437054',1956,11,2.35 
'437054',1956,12,2.9 
'437054',1957,1,2.22 
'437054',1957,2,1.25 
'437054',1957,3,1.14 
'437054',1957,4,1.86 
'437054',1957,5,2.84 
'437054',1957,6,4.22 
'437054',1957,7,4.11 
